Terms,Tag
Toggle Switch Boots,Switches
Timer Circuits,Semiconductors
Threading Tap & Die Sets,Hand Tools
Thermocouple Calibrators,Test & Measurement
Temperature Probes,Test & Measurement
Temperature Gauges,Plumbing & Pipeline
TV Brackets,Computing & Peripherals
Speed Bumps,Site Safety
Specialist Drill Bits,"Power Tools, Soldering & Welding"
Pipe Cutters,Hand Tools
Painting Accessories,Facilities Cleaning & Maintenance
Differential Amplifiers,Semiconductors
Hi Vis Vests,Personal Protective Equipment & Workwear
Fuse Holder Accessories,"Fuses, Sockets & Circuit Breakers"
Gaussmeter Accessories,Test & Measurement
Greases,Facilities Cleaning & Maintenance
Grinders,"Power Tools, Soldering & Welding"
Heatsinks,"HVAC, Fans & Thermal Management"
Heavy Duty Power Connector Inserts & Modules,Connectors
Holding Magnets & Solenoid Accessories,Automation & Control Gear
Padlocks,Security & Ironmongery
Hook Clips,Test & Measurement
Hydraulic Check Valves - Line Mounting,"Pneumatics, Hydraulics & Power Transmission"
Hydraulic Test Points,"Pneumatics, Hydraulics & Power Transmission"
Insertion & Extraction Tools,Hand Tools
Intelligent Power Switches,Semiconductors
Interface Modules,Connectors
Function Generator ICs,Semiconductors
Frequency Counters,Test & Measurement
Floor Standing Enclosures,"Enclosures, Storage & Material Handling"
First Aid Signs,Site Safety
Fibre Optic Adapters,Connectors
Ferrite Rings,Passive Components
FPC Connectors,Connectors
Ethernet Couplers,Connectors
Energy Measurement ICs,Semiconductors
Encryption & Authentication Development Tools,"Raspberry Pi, Arduino & Development Tools"
Encoder ICs,Semiconductors
Emergency Light Conversion Kits,Lighting
Electric Saws,"Power Tools, Soldering & Welding"
ESD-Safe Wall Panels Racks Posts & Kits,PCB Prototyping
Disinfectants & Sanitisers,Facilities Cleaning & Maintenance
Digital Panel Voltmeters,Automation & Control Gear
Digital Multimeters,Test & Measurement
Isolation Amplifiers,Semiconductors
Jumpers & Shunts,Connectors
Knife Blades,Hand Tools
Memory Sockets,Connectors
PWM Current Mode Controllers,Semiconductors
PLC Expansion Modules,Automation & Control Gear
PLC Accessories,Automation & Control Gear
PCB Mounting Enclosures,"Enclosures, Storage & Material Handling"
PCB Connector Accessories,Connectors
Oscilloscope Mounting & Holding Devices,Test & Measurement
Oscilloscope Cases & Bags,Test & Measurement
Nut Drivers,Hand Tools
Multimeter Cases & Holsters,Test & Measurement
Multi-purpose Wipes,Facilities Cleaning & Maintenance
Multi-purpose Cleaners,Facilities Cleaning & Maintenance
Multi Function Calibrator Accessories,Test & Measurement
Modulator & Demodulator Circuits,Semiconductors
Memory Development Tools,"Raspberry Pi, Arduino & Development Tools"
LCR Meter Accessories,Test & Measurement
Mains Test Screwdrivers,Test & Measurement
Magnifying Glasses,Test & Measurement
Magnetic Proximity Switches,Automation & Control Gear
MEMS Oscillators,Passive Components
Lubricants,Facilities Cleaning & Maintenance
Linear Solenoids,Automation & Control Gear
Linear Counters,Test & Measurement
Lead Frames,Connectors
Laser Drivers,Displays & Optoelectronics
Landline Phones,Computing & Peripherals
LVDS Translator & Repeater Combinations,Semiconductors
LED Holders,Displays & Optoelectronics
LED Displays,Displays & Optoelectronics
LED Array Mounts,Displays & Optoelectronics
4 mm Connector Test Leads,Test & Measurement
Wurth Elektronik 1500μF Electrolytic,Passive Components
Panasonic 51Ω,Passive Components
Capacitor MLCC 50V dc ±10%,Passive Components
Capacitor MLCC,Passive Components
Connectivity 11Ω,Passive Components
Connectivity 1MΩ,Passive Components
Panel Mount Resistor 82Ω,Passive Components
Capacitor 1μF 25V dc,Passive Components
Crystal Unit,Passive Components
Connectivity 4.7kΩ Metal,Passive Components
Carbon Film Carbon,Passive Components
Connectivity 1.2kΩ Metal,Passive Components
50μF Polypropylene Capacitor PP,Passive Components
Wurth Elektronik 680μF Electrolytic,Passive Components
Connectivity 390kΩ Metal,Passive Components
Wurth Elektronik 3300μF Electrolytic,Passive Components
Conductive Plastic,Passive Components
Capacitor Kit,Passive Components
3 x 77μF 20kvar 3,Passive Components
Capacitor PP 250V,Passive Components
Connectivity 1kΩ Wire,Passive Components
Panasonic 20kΩ,Passive Components
Wound Resistor 17W ±10%,Passive Components
Resistor 1Ω,Passive Components
Capacitor 220μF 6.3V dc,Passive Components
Capacitor 63V dc Through Hole,Passive Components
Connectivity 10Ω Wire Wound SMD,Passive Components
Wurth Elektronik 560μF Electrolytic Capacitor,Passive Components
Connectivity 110kΩ,Passive Components
Connectivity 1kΩ,Passive Components
Connectivity 27kΩ,Passive Components
Connectivity 16kΩ 2512,Passive Components
ac 60Hz Flange Mount RFI,Passive Components
Capacitor MLCC 50V dc ±0.25pF,Passive Components
Capacitor 6.8μF,Passive Components
Carbon Resistor 0.5W ±5%,Passive Components
Vishay 15kΩ,Passive Components
Inductor 330 nH ±5% Wire-Wound,Passive Components
Varistor 545pF,Passive Components
Panasonic 39Ω,Passive Components
Bobbin Inductor Max SRF:1MHz,Passive Components
Vishay 2.21kΩ,Passive Components
Capacitor MLCC 630V dc,Passive Components
Panasonic 2.2kΩ,Passive Components
Panasonic 30kΩ,Passive Components
Idc 15mΩ,Passive Components
Wurth Elektronik 47μF Electrolytic Capacitor,Passive Components
Connectivity 3.3kΩ Wire Wound Resistor,Passive Components
Fixed Resistor 7W,Passive Components
Capacitor 10V dc,Passive Components
Vishay 475kΩ,Passive Components
Carbon Film Carbon Resistor 1W,Passive Components
Connectivity 8.2kΩ,Passive Components
Connectivity 82Ω Metal Oxide,Passive Components
Connectivity 5.6kΩ,Passive Components
Multilayer Ceramic Capacitor,Passive Components
Varistor 180pF,Passive Components
Murata 10 mH,Passive Components
Oxide Resistor 7W ±5%,Passive Components
Oxide Varistor 170pF 25A Clamping,Passive Components
Connectivity 15kΩ,Passive Components
Ceramic Capacitor MLCC 100V,Passive Components
Connectivity 416,Passive Components
Bobbin Inductor Max SRF:9.3MHz,Passive Components
Connectivity 1.5kΩ Metal Oxide,Passive Components
Connectivity 3.3kΩ Wire,Passive Components
Inductor 560,Passive Components
Wound Panel Mount Resistor 50Ω,Passive Components
Nova Through Hole Aluminium Capacitor,Passive Components
Resistor 100mΩ,Passive Components
Wurth Elektronik 470nF Electrolytic,Passive Components
Murata 680nF Multilayer Ceramic Capacitor,Passive Components
Inductor 150 nH,Passive Components
Arcol HS25 Series,Passive Components
Maxim Integrated 133MHz MEMS,Passive Components
Inductor 22 nH ±5% Wire-Wound,Passive Components
Connectivity 13kΩ 2512,Passive Components
Crystal Unit ±20ppm SMD 4-Pin,Passive Components
Capacitor MLCC 10V,Passive Components
Wurth Elektronik 220μF Electrolytic,Passive Components
Vishay 2MΩ,Passive Components
Solid ±10% Tolerance TAJ Series,Passive Components
Wound Panel Mount Resistor 1.5kΩ,Passive Components
Inductor 68,Passive Components
Connectivity 33Ω Wire Wound Resistor,Passive Components
Ceramic Capacitor MLCC 10V,Passive Components
Connectivity 470kΩ Metal Film,Passive Components
Polypropylene Capacitor PP,Passive Components
Inductor 470,Passive Components
Carbon Film Resistor 2W ±5%,Passive Components
Wurth Elektronik 330nF Electrolytic Capacitor,Passive Components
Inductor 270 nH,Passive Components
Connectivity 70mΩ,Passive Components
Inductor 10 nH ±5% Wire-Wound,Passive Components
Wurth Elektronik 1200μF Electrolytic Capacitor,Passive Components
Bobbin Inductor Max SRF:620kHz,Passive Components
Varistor 170pF,Passive Components
Murata 100nF Multilayer Ceramic,Passive Components
Panasonic 10kΩ,Passive Components
Connectivity 249kΩ,Passive Components
C3B Series,Passive Components
Wound Panel Mount,Passive Components
Murata 1.5,Passive Components
Capacitor PP 250V ac,Passive Components
Wurth Elektronik 4700μF Electrolytic,Passive Components
Capacitor 470μF 6.3V dc,Passive Components
Panasonic 3.3kΩ,Passive Components
Capacitor 15μF,Passive Components
Connectivity 22Ω Wire Wound Resistor,Passive Components
Murata 10 mH ±10%,Passive Components
Connectivity 2.2kΩ,Passive Components
Connectivity 56kΩ 2512,Passive Components
Connectivity 15Ω,Passive Components
Wurth Elektronik 1000μF,Passive Components
Bobbin Inductor Max,Passive Components
Connectivity 113kΩ,Passive Components
Wurth Elektronik 470nF Electrolytic Capacitor,Passive Components
Inductor 15 nH ±5% Wire-Wound,Passive Components
Murata 10nF Multilayer,Passive Components
Capacitor 400V dc Through,Passive Components
Panasonic 4.3kΩ,Passive Components
Connectivity 2.2kΩ Metal Oxide,Passive Components
Connectivity 5.6kΩ Wire Wound,Passive Components
Capacitor MnO2 Solid ±10%,Passive Components
Ceramic Capacitor MLCC,Passive Components
Capacitor 40V dc Through Hole,Passive Components
Crystal Unit ±15ppm SMD,Passive Components
Wound Resistor 4W,Passive Components
Inductor 330 μH ±20% Wire-Wound,Passive Components
Inductor 1.2 μH ±5% Wire-Wound,Passive Components
Connectivity 430kΩ 2512,Passive Components
Resistor 47Ω,Passive Components
Inductor 47 nH ±5% Wire-Wound,Passive Components
Inductor 82 nH ±5%,Passive Components
Inductor 82,Passive Components
Panasonic 82kΩ,Passive Components
Murata 2.2nF Multilayer Ceramic,Passive Components
Connectivity 18kΩ,Passive Components
1μF Multilayer Ceramic Capacitor,Passive Components
Connectivity 15Ω Wire Wound SMD,Passive Components
Ceramic Capacitor MLCC 16V dc,Passive Components
Connectivity 560kΩ 2512,Passive Components
For: Audio Equipment,Passive Components
Ceramic Capacitor MLCC 630V,Passive Components
Wurth Elektronik 1500μF Electrolytic Capacitor,Passive Components
Connectivity 1.5kΩ Wire Wound,Passive Components
Panasonic 100kΩ,Passive Components
Connectivity 5.6kΩ Wire,Passive Components
Connectivity 7.68kΩ 0805,Passive Components
Wound Panel Mount Resistor 75Ω,Passive Components
Connectivity 10Ω,Passive Components
Ceramic Capacitor MLCC 50V,Passive Components
Fixed Resistor 7W ±5%,Passive Components
Crystal Unit ±10ppm SMD 4-Pin,Passive Components
Inductor 100 μH ±20% Wire-Wound,Passive Components
Vishay 221kΩ,Passive Components
Resistor 10kΩ,Passive Components
Connectivity 22Ω Wire Wound,Passive Components
Connectivity 22kΩ Metal Oxide Resistor,Passive Components
Connectivity 15Ω Wire,Passive Components
Connectivity 20Ω,Passive Components
Wurth Elektronik 12000μF Electrolytic,Passive Components
Wire-wound SMD Inductor 22,Passive Components
Oxide Varistor,Passive Components
Varistor 170pF 25A,Passive Components
Inductor 27,Passive Components
Wound Panel Mount Resistor 1Ω,Passive Components
Inductor 150 nH ±5% Wire-Wound,Passive Components
Capacitor 1μF 25V,Passive Components
Ceramic Capacitor MLCC 250V,Passive Components
Inductor 3.9 μH,Passive Components
Connectivity 30mΩ Wire,Passive Components
Connectivity 100kΩ,Passive Components
Panel Mount Resistor 5.6kΩ,Passive Components
Inductor 1.2 μH,Passive Components
Wound Wirewound Through,Passive Components
Carbon Film Resistor 2W,Passive Components
Connectivity 2.2kΩ Metal Film Resistor,Passive Components
Vishay 200kΩ,Passive Components
Connectivity 47Ω Metal Film,Passive Components
Connectivity 3kΩ 2512,Passive Components
Connectivity 27kΩ Metal Film,Passive Components
Connectivity 205kΩ,Passive Components
Capacitor 16V dc Through,Passive Components
Connectivity 30kΩ 2512,Passive Components
Capacitor 330μF 2.5V,Passive Components
Inductor 560 nH ±5% Wire-Wound,Passive Components
Wurth Elektronik 330μF,Passive Components
Inductor 2.7,Passive Components
Wurth Elektronik 220nF,Passive Components
Wound Panel Mount Resistor 12Ω,Passive Components
Inductor 3.9 μH ±5%,Passive Components
Wurth Elektronik 33μF,Passive Components
Vishay 7.5kΩ,Passive Components
Capacitor 25V dc Through,Passive Components
Resistor 2Ω,Passive Components
Connectivity 150kΩ 0805,Passive Components
Inductor 82 nH,Passive Components
Capacitor PP 450V ac ±10%,Passive Components
Inductor 680,Passive Components
Inductor 3.3 μH ±30%,Passive Components
Panasonic 330kΩ,Passive Components
HS15 Series,Passive Components
Inductor 27 nH ±5% Wire-Wound,Passive Components
Connectivity 82kΩ,Passive Components
Mount Resistor 6.8kΩ,Passive Components
Filter 3A,Passive Components
Connectivity 1kΩ Metal Film Resistor,Passive Components
Wurth Elektronik 47μF,Passive Components
Panasonic 430kΩ,Passive Components
Connectivity 82Ω Metal Oxide Resistor,Passive Components
Wurth Elektronik 120μF Electrolytic Capacitor,Passive Components
ac ±10% Tolerance C95 Series,Passive Components
Inductor 5.6 nH ±5%,Passive Components
Capacitor 250V dc Through,Passive Components
Ferrite Ring Bead For:,Passive Components
Connectivity 27Ω Wire,Passive Components
Connectivity 3650 1008 Wire-wound,Passive Components
Wound Panel Mount Resistor 5.6kΩ,Passive Components
Connectivity 182kΩ,Passive Components
Connectivity 249kΩ 0805,Passive Components
Wurth Elektronik 330nF Electrolytic,Passive Components
Arcol 10kΩ,Passive Components
Tantalum Capacitor,Passive Components
Factor Correction Capacitor,Passive Components
Mount RFI,Passive Components
Capacitor MLCC 500V,Passive Components
22μF Electrolytic Capacitor,Passive Components
Wurth Elektronik 470μF Electrolytic Capacitor,Passive Components
Panasonic 33Ω,Passive Components
Varistor 545pF 100A Clamping,Passive Components
Panasonic 27Ω,Passive Components
Mount Resistor 100mΩ,Passive Components
Capacitor 22μF 6.3V dc,Passive Components
Connectivity 12kΩ,Passive Components
3 x 137μF 25kvar 3,Passive Components
Inductor 100,Passive Components
Oxide Varistor 175pF 25A Clamping,Passive Components
Capacitor MLCC 16V dc ±10%,Passive Components
Wound Resistor 17W,Passive Components
Wurth Elektronik,Passive Components
Connectivity 330mΩ Wire,Passive Components
Connectivity 47Ω,Passive Components
Murata 1nF,Passive Components
Connectivity 15kΩ Wire,Passive Components
Inductor 15,Passive Components
Panasonic 13Ω,Passive Components
Connectivity 330mΩ,Passive Components
Connectivity 1.5kΩ Wire Wound Resistor,Passive Components
Connectivity 27Ω,Passive Components
Inductor 560 nH ±5%,Passive Components
Connectivity 470mΩ,Passive Components
Connectivity 470mΩ Wire Wound,Passive Components
